date,id,content,username
02.00 - 27 Apr 2019,1122062994635145216,"+++Wahlspot zur #EUWahl2019 : Freiheit statt Brüssel!+++
Die #AfD um Spitzenkandidat @Joerg_Meuthen steht für ein Europa der Vaterländer und will die Europäische Union von Grund auf erneuern!
 Am 26. Mai die Alternative wählen!
#Europawahl2019 #EP2019
 https://www.youtube.com/watch?v=CY4tRdiCQrc …pic.twitter.com/U0Q9pEEyiw",AfD
07.09 - 1 Mei 2019,1123590384419053573,"❝Verdi verdeckt unsere Plakate und die Polizei sieht tatenlos zu! Der Rechtsstaat scheint am Ende zu sein!❞
Dr. @Verena_Wester, Kandidatin der #AfD zur #EUWahl2019 (Listenplatz 13).
Pressemitteilung der @Solingen_AfD dazu:
https://www.facebook.com/permalink.php?story_fbid=417568405710502&id=322086921925318&__xts__[0]=68.ARAn7ywac7ZtVcVRfR9oJH21KfFmOYS0h2Q0rZShytHvobZChQtG0TUmeM72bUXjNafhLLZw61itODxmG61o7zKDIdrirtltJbZP0Mbg4IjXYXWcDvLWZ5tb_ae4OKQKA_CY_7QFvQCFhbEDWULoxihRr93sjoqN4jweDPBrmXs91RgAltc2_tFHc-ntYDk_85-6pRsBXKbKVc4xKIhiOrk56XqNlTrng_4OiJYSttVxv18Xr6bGPWYT3ZTHe98WNzX9z06bK9a01q1hpQ_iQy26BTg3q0fQ4XfnZ1uLl8VK1jqnesfJG0Wlg6eZ5AODvAh-rcD-oD_j8J8gDA1ONtQ&__tn__=-R …
#Europawahl2019 #EP2019pic.twitter.com/NfaxRTuVjk",AfD
06.48 - 1 Mei 2019,1123585082235805697,"+++ Arbeit muss sich lohnen! Sozial, ohne rot zu werden! +++
Anlässlich des heutigen #TagderArbeit bietet es sich an, in Erinnerung zu rufen, wer tatsächlich mittlerweile die Interessen des arbeitenden Teils unserer Bevölkerung vertritt: Die #AfD!
#1Mai
https://www.facebook.com/afd.bremen/photos/a.169613486531811/1225103710982778/?type=3&theater …pic.twitter.com/MGpMIbZvI2",AfD_Bremen
06.45 - 1 Mei 2019,1123584221648388098,"Weil sie hauptsächlich uns bedrohen, werden die Gewaltausschreitungen der  Antifa+anderen Linksextremen von allen Altparteien geduldet.(...) Es gibt eine Alternative. Wir wünschen Ihnen einen fröhlichen+friedlichen 1. Mai mit Familie & Freunden! #1Mai #AfD https://www.facebook.com/HemmelgarnUdo/photos/a.1560219110951542/1686028255037293/ …pic.twitter.com/EcjBJB7tyw",UdoHemmelgarn
06.32 - 1 Mei 2019,1123580945049714688,"Toller Auftakt zur #EUWahl mit Landessprecher @Robert_Lambrou, Erich #Heidkamp (Platz 12) & @Nicolaus_Fest (6)!
Im Anschluss ließen wir den Abend noch mit ~30 Parteifreunden gemütlich ausklingen.
lichen Dank an meinen #AFD-Kreisverband Main Kinzig für die perfekte Organisation!pic.twitter.com/HgzrNVPIyw",M_HarderKuehnel
04.01 - 1 Mei 2019,1123542952062722053,"Eine unglaubliche Nachricht aus Österreich: Scheinbar ist es dort durch bloßen Regierungswillen möglich geworden, die Steuerbelastung der Bevölkerung zu senken. Für die #Merkelregierung in #Deutschland eine lange vergessene Spielart der Staatskunst.
@AfDhttps://www.welt.de/politik/ausland/article192699037/Oesterreich-senkt-Steuern-6-5-Milliarden-Euro-Entlastung-im-Jahr.html …",Frank_Pasemann
03.38 - 1 Mei 2019,1123537262690615298,Linke Landtagsabgeordnete versuchen #Demo-Route der #AfD zu blockieren und die #Polizei setzt dem ein Ende? Danke Polizei!  #Demokratie #1Mai #Erfurt #zusammenstehenpic.twitter.com/CrYIGpMWFf,WMuhsal
02.30 - 1 Mei 2019,1123519931482382336,"Wir möchten heute am #TagderArbeit wiederholt der Polizei unseren Dank aussprechen.
Danke an alle, die sich heute wieder für den schwindenden Rechtsstaat einsetzen. Kommt alle wieder gesund nach Hause!
#1Mai #1Mai2019 #AfD
 https://www.facebook.com/alternativefuerde/photos/p.2391986510831674/2391986510831674/?type=3&theater …pic.twitter.com/uKeqcYOlnN",AfD
08.55 - 30 Apr 2019,1123254575820169216,#Einzelfall xxx: Polizeibekannter Syrer schlägt Schülerin & Studenten nieder! Niemand ist vor den #Merkel - Machos sicher. Wie lange soll diese offene #gewalt gegen uns noch weitergehen? Welche Maßnahmen außer mehr #Europa plant die #Regierung? #AfDwählenhttps://www.bild.de/news/inland/news-inland/magdeburg-syrer-schlaegt-in-strassenbahn-schuelerin-und-studenten-nieder-61580136.bildMobile.html?wtmc=twttr.shr …,M_Reichardt_AfD
08.31 - 30 Apr 2019,1123248602904715264,"++ Frau Klöckner ist das Tierwohl egal ++
Wenn man ein Zirkustier ist, hat man von Landwirtschaftsministerin @JuliaKloeckner nichts zu erwarten. Für sie ist es völlig in Ordnung, wenn Raubkatze & Co. dort ihr Dasein fristen müssen.
#AfD #Europawahl2019
 https://www.facebook.com/540404695989874/posts/2391387427558249/ …pic.twitter.com/cTxJvOCDRE",AfD
08.13 - 30 Apr 2019,1123243936015945729,"++ #CO2-Steuer ist auf dem Weg: Die große Steuererhöhung kommt! ++
Es ist unfassbar! Die #GroKo steht allem Anschein nach wohl unmittelbar vor der Einigung auf eine CO2-Abgabe. Der Fiskus freut sich schon.
#AfD #CO2Abgabe
 https://www.facebook.com/alternativefuerde/photos/a.542889462408064/2391303560899969/?type=3&theater …pic.twitter.com/05pJ5BU2Er",AfD
03.16 - 30 Apr 2019,1123169166968741888,"++ liche Einladung: ""#AfD trifft FPÖ"" am 3. Mai um 19 Uhr in #Pforzheim! ++
Unser Spitzenkandidat zur #EUWahl2019 Prof. Dr. @Joerg_Meuthen, Fraktionsvorsitzende Dr. @Alice_Weidel & Mag. @JGudenus (FPÖ) sprechen über das „Europa der Vaterländer“.
#EP2019 #Europawahl2019 #EUWahlpic.twitter.com/eKYNP9Kp4u",AfD
08.57 - 29 Apr 2019,1122892726712852484,"#Rekers Freunde beim ""AZ"" befehlen und der Mob folgt: Dutzende Plakate der #AfD #Köln wurden am Wochenende abgerissen. Als der #CDU jüngst ein paar Plakate beschmiert wurden, gabs großen Aufschrei. Aber wo sind hier @ksta_koeln, @KoelnischeR, @express24 und @BILD_Koeln?pic.twitter.com/fFbdm5Jv3z",twittschler
01.32 - 30 Apr 2019,1123143098719248384,#Europawahl2019 #Europawahl #AfD Veranstaltung mit #Meuthen #Kalbitz #Bessin in #Jüterbog #Wiesenhalle am 7.Mai 2019 um 19.00 Uhrpic.twitter.com/q9o50YshS6,BirgitBessin
